Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
TCS,93700,3.7,IT Services & Consulting,890000,10700,177,1996.0,29,tcs.com
Accenture,59300,3.8,IT Services & Consulting,590000,8400,8800,1989.0,36,accenture.com
Wipro,55100,3.7,IT Services & Consulting,450000,5800,4100,1945.0,80,careers.wipro.com
Cognizant,52400,3.7,IT Services & Consulting,570000,5700,204,1994.0,31,cognizant.com
Capgemini,43900,3.7,IT Services & Consulting,440000,4900,2000,1967.0,58,capgemini.com
HDFC Bank,41300,3.9,Banking,140000,2300,529,1994.0,31,hdfcbank.com
Infosys,41100,3.6,IT Services & Consulting,480000,7700,2400,1981.0,44,infosys.com
ICICI Bank,39500,4.0,Banking,150000,2500,22,1994.0,31,icicibank.com
HCLTech,37800,3.5,IT Services & Consulting,340000,4000,227,1991.0,34,hcltech.com
Tech Mahindra,36600,3.5,IT Services & Consulting,270000,3900,712,1986.0,39,techmahindra.com
Genpact,33000,3.8,IT Services & Consulting,210000,3200,461,1997.0,28,genpact.com
Teleperformance,31000,3.9,BPO,91500,1800,380,1978.0,47,teleperformance.com
Concentrix Corporation,27400,3.8,BPO,120000,1700,137,1983.0,42,concentrix.com
Axis Bank,26500,3.8,Banking,99500,1500,202,1993.0,32,axisbank.com
Amazon,26200,4.1,Internet,130000,5100,2200,1994.0,31,amazon.jobs
Jio,24300,4.0,Telecom,62200,2000,116,2018.0,7,jio.com
iEnergizer,23400,4.6,BPO,22800,675,216,2000.0,25,ienergizer.com Company contact no.8588894888 E-mailinfo@iEnergizer.com
Reliance Retail,23200,3.9,Retail,66900,1600,119,2006.0,19,relianceretail.com
IBM,23200,4.0,IT Services & Consulting,200000,2400,1000,1911.0,114,ibm.com
LTIMindtree,21900,3.8,IT Services & Consulting,180000,3000,414,1997.0,28,ltimindtree.com
HDB Financial Services,21100,3.9,NBFC,50000,841,177,2007.0,18,hdbfs.com
Larsen & Toubro Limited,19400,4.0,Engineering & Construction,69600,1500,152,1938.0,87,larsentoubro.com
Deloitte,18500,3.8,Management Consulting,190000,2900,127,1845.0,180,www2.deloitte.com
Kotak Mahindra Bank,17700,3.7,Banking,82500,1100,61,2003.0,22,kotak.com
Reliance Industries ,16700,4.0,Oil & Gas,68600,1300,28,1977.0,48,ril.com
BYJU'S,16300,3.1,EdTech,58600,2100,0,2011.0,14,byjus.com
Vodafone Idea,15800,4.0,Telecom,53200,567,24,2018.0,7,myvi.in
Bharti Airtel,14200,4.0,Telecom,46700,892,182,1952.0,73,airtel.in
WNS,12500,3.4,BPO,63300,1100,111,1996.0,29,wns.com
Tata Motors,12300,4.2,Automobile,41100,1000,14,1945.0,80,tatamotors.com
AU Small Finance Bank,12000,4.2,Banking,26200,544,74,1996.0,29,aubank.in
IndusInd Bank,11500,3.5,Banking,49100,641,2900,1994.0,31,indusind.com
Flipkart,11100,3.9,Internet,49200,1400,113,2007.0,18,flipkart.com
Ernst & Young,11300,3.4,Management Consulting,120000,1200,2100,2002.0,23,ey.com
IDFC FIRST Bank,10800,3.9,Banking,44900,683,44,2018.0,7,idfcfirstbank.com
DXC Technology,10400,3.7,IT Services & Consulting,74700,808,203,2017.0,8,dxc.com
Infosys BPM ,10200,3.6,BPO,67100,974,73,2002.0,23,infosysbpm.com
Mahindra & Mahindra,10100,4.1,Automobile,37300,700,54,1945.0,80,mahindra.com
Bajaj Finserv,9800,4.0,Financial Services,27400,543,21,2007.0,18,bajajfinserv.in
PwC,9600,3.4,Management Consulting,93300,1400,2000,1880.0,145,pwc.com
HDFC Life,9500,4.0,Insurance,31100,635,135,2000.0,25,hdfclife.com
Conneqt Business Solutions,9100,3.6,BPO,27000,486,355,2002.0,23,conneqtcorp.com
Mphasis,8700,3.4,IT Services & Consulting,69000,820,159,1998.0,27,mphasis.com
Bandhan Bank,8100,3.7,Banking,23400,571,2,2001.0,24,bandhanbank.com
Yes Bank,8100,3.7,Banking,42400,452,348,2004.0,21,yesbank.in
Startek,7900,3.1,Unknown,23700,490,58,2017.0,8,startek.com
Paytm,7700,3.3,FinTech,32299,765,468,2010.0,15,paytm.com
Tata Steel,7700,4.1,Iron & Steel,30500,882,0,1907.0,118,tatasteel.com
Asian Paints,7700,4.0,Chemicals,23000,663,29,1942.0,83,asianpaints.com
Quess,7700,3.9,BPO,29000,433,71,2007.0,18,quesscorp.com
Maruti Suzuki,7500,4.2,Automobile,25300,611,779,1981.0,44,marutisuzuki.com
UltraTech Cement,7500,4.2,Building Material,22600,607,90,1983.0,42,ultratechcement.com
Samsung,7400,3.9,Consumer Electronics & Appliances,26300,559,6,1969.0,56,samsung.com
Sutherland Global Services,7300,3.5,IT Services & Consulting,30800,651,197,1986.0,39,sutherlandglobal.com
Shriram Finance,7400,4.1,NBFC,13700,356,20,1979.0,46,shriramfinance.in
Ericsson,7400,4.1,Telecom,42200,419,154,1876.0,149,ericsson.com
EXL Service,7400,3.7,Analytics & KPO,40400,760,79,1999.0,26,exlservice.com
Cipla,7100,4.1,Pharma,24500,499,87,1935.0,90,cipla.com
Muthoot Fincorp,7100,4.5,NBFC,8400,524,37,1887.0,138,muthootfincorp.com
HGS,7000,3.8,BPO,22800,247,22,2000.0,25,joinhgs.com
Dr. Reddy's,7000,4.0,Pharma,24400,411,18,1984.0,41,drreddys.com
Bajaj Finance,7000,4.0,NBFC,21400,321,83,1987.0,38,bajajfinserv.in
Wells Fargo,6700,3.8,Financial Services,51100,590,194,1852.0,173,wellsfargojobs.com E-mailprivacy.emea@wellsfargo.com
Amazon Development Centre India,6500,4.1,Internet,33000,778,17,Not Available,0,amazon.com
ICICI Prudential Life Insurance,6400,4.1,Insurance,21400,404,411,2000.0,25,iciciprulife.com
JPMorgan Chase & Co.,6400,3.9,Financial Services,73600,762,817,1968.0,57,jpmorganchase.com
Delhivery,6300,3.8,Logistics,19500,484,102,2011.0,14,delhivery.com
Hindustan Unilever ,6300,4.2,FMCG,21400,398,45,1872.0,153,hul.co.in
Jana Small Finance Bank,6300,3.8,Banking,14800,255,24,2006.0,19,janabank.com
Optum Global Solutions,6300,4.0,IT Services & Consulting,40500,635,91,2002.0,23,optum.in
Lupin,6200,4.1,Pharma,22400,357,106,1968.0,57,lupin.com
Hexaware Technologies,6200,3.5,IT Services & Consulting,48300,727,169,1990.0,35,hexaware.com Company contact no.2267919595 E-mailmarketing@hexaware.com
L&T Construction,6200,4.0,Engineering & Construction,18700,771,0,1944.0,81,lntecc.com
Zydus Lifesciences,6200,4.1,Pharma,18900,327,26,1952.0,73,zyduslife.com
Equitas Small Finance Bank,6100,4.5,Banking,12200,445,1100,2007.0,18,equitasbank.com
JSW Steel,6100,3.9,Iron & Steel,27200,612,113,1982.0,43,jsw.in
Sun Pharmaceutical Industries,6000,4.0,Pharma,21900,414,194,1983.0,42,sunpharma.com Company contact no.2243244324 E-mailjanet.metz@sunpharma.com
ITC,5800,3.9,FMCG,22700,571,79,1910.0,115,itcportal.com
KPMG India,5800,3.5,Management Consulting,54200,812,1200,1987.0,38,kpmg.com
FIS,5700,3.9,IT Services & Consulting,38000,494,249,1968.0,57,fisglobal.com
HCL Group,5700,3.6,IT Services & Consulting,48700,464,4,1976.0,49,hcl.com
Axis Max Life Insurance,5600,4.1,Insurance,18300,320,210,2000.0,25,maxlifeinsurance.com
Ujjivan Small Finance Bank,5500,4.1,Banking,12400,242,29,2017.0,8,ujjivansfb.in
Ekart Logistics,5600,3.9,Unknown,14200,319,1,2009.0,16,ekartlogistics.com
Tata Projects,5500,4.2,Engineering & Construction,20300,461,27,1979.0,46,tataprojects.com Company contact no.2267402900 E-mailtpl@tataprojects.com
Oracle,5400,3.7,Software Product,57300,871,1200,1977.0,48,oracle.com
Indian Army,5400,4.7,Defence & Aerospace,9400,156,0,1895.0,130,indianarmy.nic.in
IIFL Finance,5400,4.0,NBFC,14500,262,50,1995.0,30,iifl.com
Megha Engineering & Infrastructures,5300,3.9,Engineering & Construction,16700,457,23,1989.0,36,meil.in
Muthoot Finance,5200,3.6,NBFC,12200,271,145,1939.0,86,muthootfinance.com
eClerx,5200,3.3,IT Services & Consulting,29100,542,53,2000.0,25,eclerx.com
Udaan,5100,4.0,Internet,17000,338,6,2016.0,9,udaan.com
Omega Healthcare,5200,3.7,BPO,23300,460,170,2003.0,22,omegahms.com
Bajaj Allianz Life Insurance,5100,3.9,Insurance,16000,344,146,2001.0,24,bajajallianzlife.com
JLL,5100,4.1,Real Estate,21600,376,333,1999.0,26,jll.co.in
L&T Technology Services,5100,3.3,IT Services & Consulting,38800,548,525,2012.0,13,Ltts.com
Virtusa Consulting Services,5000,3.8,IT Services & Consulting,53100,597,28,1996.0,29,virtusa.com
Coforge,5100,3.3,IT Services & Consulting,42000,545,323,1996.0,29,indiamart.com
Indiamart Intermesh,5000,3.6,Internet,19000,658,673,1992.0,33,coforge.com
HSBC Group,4900,3.9,Financial Services,37500,494,168,1865.0,160,hsbc.com
Siemens,4900,4.1,Industrial Automation,30900,434,1200,1867.0,158,siemens.com
Aurobindo Pharma,4900,4.0,Pharma,21500,247,16,1986.0,39,aurobindo.com
Shapoorji Pallonji Group,4800,4.1,Engineering & Construction,14900,344,36,1865.0,160,shapoorjipallonji.com
Standard Chartered,4800,3.7,Banking,39800,275,0,1853.0,172,sc.com
Firstsource Solutions,4800,3.6,BPO,22500,309,112,2001.0,24,firstsource.com
DMart,4800,3.9,Retail,16000,413,110,2002.0,23,dmartindia.com
CGI Group,4800,4.0,IT Services & Consulting,43400,501,200,1976.0,49,cgi.com
Cholamandalam Investment & Finance,4800,3.9,Financial Services,11400,200,25,1978.0,47,cholamandalam.com
GlobalLogic,4700,3.7,IT Services & Consulting,36200,600,45,2000.0,25,globallogic.com
Apollo Hospitals,4700,4.1,Healthcare,15900,366,39,1983.0,42,apollohospitals.com
Ashok Leyland,4600,4.1,Automobile,18100,250,1,1948.0,77,ashokleyland.com
ICICI Lombard General Insurance Company,4700,3.7,Insurance,18800,289,83,2001.0,24,icicilombard.com
BigBasket,4700,3.9,Internet,17600,369,59,2011.0,14,bigbasket.com Company contact no.8601231000 E-mailcustomerservice@bigbasket.com
Cyient,4600,3.7,IT Services & Consulting,26400,299,70,1991.0,34,cyient.com
Bosch Global Software Technologies,4600,3.9,IT Services & Consulting,36500,348,22,1997.0,28,bosch-softwaretechnologies.com
UST,4600,3.8,IT Services & Consulting,36800,524,231,1999.0,26,ust.com
Citicorp,4600,3.7,Financial Services,44900,575,0,1997.0,28,citigroup.com
Hero MotoCorp,4500,4.1,Automobile,14900,349,0,1984.0,41,heromotocorp.com
Mahindra Finance,4600,4.1,NBFC,11200,159,47,1991.0,34,mahindrafinance.com
JustDial,4500,3.5,Internet,14700,335,47,1996.0,29,justdial.com
Eviden,4400,3.6,IT Services & Consulting,29800,303,51,Not Available,0,eviden.com
Vivo,4400,4.1,Consumer Electronics & Appliances,13300,200,6,2009.0,16,vivo.com
SMFG India Credit,4400,4.0,NBFC,10600,168,100,2007.0,18,smfgindiacredit.com
Home Credit Finance,4300,4.1,NBFC,10400,116,90,2012.0,13,homecredit.co.in
Manappuram Finance,4400,3.9,NBFC,8300,157,36,1949.0,76,manappuram.com
BNY,4300,3.9,Financial Services,28800,354,59,1784.0,241,bny.com
Atos,4300,3.8,IT Services & Consulting,32000,384,37,2000.0,25,atos.net
TVS Motor,4300,4.0,Automobile,14900,327,4,1979.0,46,tvsmotor.com
IQVIA,4300,3.9,Clinical Research,28200,474,27,1982.0,43,iqvia.com
Swiggy,4300,3.8,Internet,21000,444,178,2014.0,11,swiggy.com
SBI Cards & Payment Services,4200,3.7,Financial Services,15200,241,49,1998.0,27,sbicard.com
Nagarro,4200,4.0,IT Services & Consulting,27900,770,338,1996.0,29,nagarro.com
OPPO,4200,4.0,Consumer Electronics & Appliances,12300,218,7,2004.0,21,oppo.com
Persistent Systems,4100,3.5,IT Services & Consulting,38700,615,209,1990.0,35,persistent.com Company contact no.2067462084 E-mailinfo@persistent.com
Kalpataru Projects International,4200,4.1,Engineering & Construction,12600,255,1,1981.0,44,kalpataruprojects.com
Amdocs,4100,3.7,Software Product,35700,520,46,1982.0,43,amdocs.com
Bosch,4000,4.2,Auto Components,20100,336,275,1886.0,139,bosch.com
CBRE,4100,4.2,Real Estate,17300,281,49,1906.0,119,cbre.co.in
NTT Data,4100,3.8,IT Services & Consulting,29000,633,55,1988.0,37,global.ntt
State Bank of India,4000,3.8,Banking,11000,246,0,1806.0,219,sbi.co.in
Hewlett Packard Enterprise,4000,4.2,IT Services & Consulting,27000,235,6,2015.0,10,hpe.com
Mahindra Logistics,4000,3.9,Logistics,13400,204,11,2000.0,25,mahindralogistics.com
JBM Group,4000,4.0,Auto Components,13800,286,27,1983.0,42,jbmgroup.com
SBI Life Insurance Company,4000,3.8,Insurance,11000,241,5,2001.0,24,sbilife.co.in
Schneider Electric,4000,4.1,Industrial Automation,21900,376,432,1999.0,26,schneiderelectric.com
Dell,4000,3.9,Consumer Electronics & Appliances,27700,393,49,1984.0,41,dell.com
PolicyBazaar,4100,3.6,Internet,15200,416,154,2008.0,17,policybazaar.com
Ecom Express,3900,3.8,Logistics,9500,211,30,2012.0,13,ecomexpress.in
Nagarjuna Construction Company,3900,4.1,Engineering & Construction,10800,327,24,1998.0,27,ncclimited.com
Piramal Capital Housing Finance,3900,4.2,NBFC,9000,189,1,2020.0,5,piramalfinance.com
KEC International,3800,4.0,Engineering & Construction,12000,320,3,1945.0,80,kecrpg.com
Aditya Birla Fashion and Retail,3800,4.1,Fashion & Textile,12400,213,13,1988.0,37,abfrl.com
Hyundai Motor India Limited,3700,4.3,Automobile,12900,268,7,1967.0,58,hyundai.com
Varun Beverages,3700,4.0,Beverage,10900,246,64,1991.0,34,varunbeverages.com
CARS24 ,3700,3.5,Internet,14200,341,119,2015.0,10,cars24.com
Randstad,3700,3.8,Recruitment,15300,272,85,1992.0,33,randstad.in
